NEW TECH,TRADITIONAL ART FORM,SUBJECT
AR,Madhubani,Ecology
Google glass,Dhrupad,Philosophy
Machine Learning,Pottery,Mysticism
Blockchain,Kathakali,Politics
Roblox,Nukkad Natak,Bezos in Space
NFT,mushaira,Racism
Social AR lens,oyilattam,Conservation
gen art,warli art,alternative education
Bionic Chips,Murals,Story-telling
Unreal engine,Karuta,poetry
Reality Voxelizer,Shuji,Speculative Fiction
Quantum Computing,qawwali,Sex - Ed
Virtual Reality,Tanjore Paintings,Cats <3
Autonomous vehicles,Gond Paintings,boredom
Google Lens,Bhil,Gendered Violence
procedural art,jugalbandi,tech art
unity,glass art,Cats playing pianos
touchdesigner,ghazal,Comedy
XR,Paper mache,Culture
gen art,Patterns- Tamil Kolam,Queer Futures
prosthetics,Miniature paintings,Fractals / math
Algorithmic art,Gond Art,Speculative Fiction
houdini,papier mache,Activism
Dynamic paintings,Shringaar,psycology 
,Bastar bell metal casting,Psilocybins
,nudes,psycadelics
,tattoos,Therapy
,Rakugo,
,Kintsuki,
,Ukiyo-E,
,Impressionism,
,Tea Making,
,Origami,
,Anime/ Manga,